icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4ab824,NSZ8KC,,,1777968840,59.718109,16.7003,10043.3,0.0,False,265.88,-25.418,173.7,0.7999,0.0957,0.096,0.144
4ab824,NSZ8KC,,,1777968841,59.715718,16.7003,10017.8,180.0,False,265.88,-25.507,174.02,0.7999,0.09582,0.192,0.287
4ab824,NSZ8KC,,,1777968842,59.713327,16.7003,9992.2,180.0,False,265.88,-25.598,174.34,0.7999,0.09595,0.287,0.431
4ab824,NSZ8KC,,,1777968843,59.710936,16.7003,9966.5,180.0,False,265.88,-25.689,174.66,0.7999,0.09608,0.384,0.574
4ab824,NSZ8KC,,,1777968844,59.708545,16.7003,9940.8,180.0,False,265.88,-25.78,174.98,0.7999,0.09621,0.48,0.718
4ab824,NSZ8KC,,,1777968845,59.706153,16.7003,9914.9,180.0,False,265.88,-25.873,175.31,0.7999,0.09635,0.576,0.861
4ab824,NSZ8KC,,,1777968846,59.703762,16.7003,9888.9,180.0,False,265.88,-25.966,175.64,0.7999,0.09648,0.673,1.005
4ab824,NSZ8KC,,,1777968847,59.701371,16.7003,9862.9,180.0,False,265.88,-26.06,175.96,0.7999,0.09661,0.769,1.148
4ab824,NSZ8KC,,,1777968848,59.69898,16.7003,9836.7,180.0,False,265.88,-26.155,176.29,0.7999,0.09675,0.866,1.292
4ab824,NSZ8KC,,,1777968849,59.696589,16.7003,9810.5,180.0,False,265.88,-26.25,176.62,0.7999,0.09689,0.963,1.436
4ab824,NSZ8KC,,,1777968850,59.694198,16.7003,9784.1,180.0,False,265.88,-26.346,176.96,0.7999,0.09703,1.06,1.579
4ab824,NSZ8KC,,,1777968851,59.691807,16.7003,9757.7,180.0,False,265.88,-26.443,177.29,0.7999,0.09717,1.157,1.723
4ab824,NSZ8KC,,,1777968852,59.689411,16.7003,9731.6,180.0,False,266.38,-26.098,176.35,0.7999,0.09643,1.253,1.867
4ab824,NSZ8KC,,,1777968853,59.687016,16.7003,9705.4,180.0,False,266.38,-26.192,176.68,0.7999,0.09657,1.35,2.01
4ab824,NSZ8KC,,,1777968854,59.68462,16.7003,9679.1,180.0,False,266.38,-26.288,177.01,0.7999,0.0967,1.447,2.154
4ab824,NSZ8KC,,,1777968855,59.682224,16.7003,9652.7,180.0,False,266.38,-26.384,177.34,0.7999,0.09684,1.544,2.298
4ab824,NSZ8KC,,,1777968856,59.679829,16.7003,9626.2,180.0,False,266.38,-26.48,177.68,0.7999,0.09698,1.641,2.442
4ab824,NSZ8KC,,,1777968857,59.677433,16.7003,9599.7,180.0,False,266.38,-26.578,178.01,0.7999,0.09712,1.738,2.586
4ab824,NSZ8KC,,,1777968858,59.675037,16.7003,9573.0,180.0,False,266.38,-26.676,178.35,0.7999,0.09726,1.835,2.73
4ab824,NSZ8KC,,,1777968859,59.672642,16.7003,9546.2,180.0,False,266.38,-26.775,178.69,0.7999,0.0974,1.932,2.873
4ab824,NSZ8KC,,,1777968860,59.670246,16.7003,9519.3,180.0,False,266.38,-26.875,179.03,0.7999,0.09755,2.03,3.017
4ab824,NSZ8KC,,,1777968861,59.66785,16.7003,9492.3,180.0,False,266.38,-26.976,179.37,0.7999,0.09769,2.128,3.161
4ab824,NSZ8KC,,,1777968862,59.665455,16.7003,9465.3,180.0,False,266.38,-27.078,179.71,0.7999,0.09784,2.225,3.305
4ab824,NSZ8KC,,,1777968863,59.663059,16.7003,9438.1,180.0,False,266.38,-27.18,180.06,0.7999,0.09799,2.323,3.449
4ab824,NSZ8KC,,,1777968864,59.660663,16.7003,9410.8,180.0,False,266.38,-27.283,180.4,0.7999,0.09814,2.422,3.593
4ab824,NSZ8KC,,,1777968865,59.658268,16.7003,9383.4,180.0,False,266.38,-27.387,180.75,0.7999,0.0983,2.52,3.736
4ab824,NSZ8KC,,,1777968866,59.655872,16.7003,9355.9,180.0,False,266.38,-27.492,181.1,0.7999,0.09845,2.618,3.88
4ab824,NSZ8KC,,,1777968867,59.653477,16.7003,9328.3,180.0,False,266.38,-27.598,181.45,0.7999,0.09861,2.717,4.024
4ab824,NSZ8KC,,,1777968868,59.651081,16.7003,9300.6,180.0,False,266.38,-27.705,181.8,0.7999,0.09876,2.816,4.168
4ab824,NSZ8KC,,,1777968869,59.648685,16.7003,9272.8,180.0,False,266.38,-27.813,182.16,0.7999,0.09892,2.915,4.312
4ab824,NSZ8KC,,,1777968870,59.64629,16.7003,9244.9,180.0,False,266.38,-27.921,182.52,0.7999,0.09908,3.014,4.456
4ab824,NSZ8KC,,,1777968871,59.643894,16.7003,9216.9,180.0,False,266.38,-28.03,182.87,0.7999,0.09925,3.113,4.599
4ab824,NSZ8KC,,,1777968872,59.641498,16.7003,9188.7,180.0,False,266.38,-28.141,183.23,0.7999,0.09941,3.212,4.743
4ab824,NSZ8KC,,,1777968873,59.639103,16.7003,9160.5,180.0,False,266.38,-28.252,183.59,0.7999,0.09958,3.312,4.887
4ab824,NSZ8KC,,,1777968874,59.636707,16.7003,9132.1,180.0,False,266.38,-28.364,183.96,0.7999,0.09975,3.412,5.031
4ab824,NSZ8KC,,,1777968875,59.634311,16.7003,9103.6,180.0,False,266.38,-28.477,184.32,0.7999,0.09992,3.512,5.175
4ab824,NSZ8KC,,,1777968876,59.631916,16.7003,9075.0,180.0,False,266.38,-28.592,184.69,0.7999,0.10009,3.612,5.319
4ab824,NSZ8KC,,,1777968877,59.62952,16.7003,9046.3,180.0,False,266.38,-28.707,185.06,0.7999,0.10026,3.712,5.462
4ab824,NSZ8KC,,,1777968878,59.627124,16.7003,9017.5,180.0,False,266.38,-28.823,185.43,0.7999,0.10044,3.812,5.606
4ab824,NSZ8KC,,,1777968879,59.624727,16.7003,8988.6,180.0,False,266.59,-28.949,185.83,0.7999,0.10064,3.913,5.75
4ab824,NSZ8KC,,,1777968880,59.622329,16.7003,8959.5,180.0,False,266.59,-29.067,186.2,0.7999,0.10082,4.014,5.894
4ab824,NSZ8KC,,,1777968881,59.619932,16.7003,8930.3,180.0,False,266.59,-29.186,186.58,0.7999,0.101,4.115,6.038
4ab824,NSZ8KC,,,1777968882,59.617534,16.7003,8901.0,180.0,False,266.59,-29.306,186.95,0.7999,0.10118,4.216,6.182
4ab824,NSZ8KC,,,1777968883,59.615441,16.701597,8871.6,162.6,False,266.59,-29.428,187.33,0.7999,0.10137,4.317,6.326
4ab824,NSZ8KC,,,1777968884,59.613887,16.705201,8842.0,130.4,False,266.59,-29.55,187.72,0.7999,0.10156,4.419,6.47
4ab824,NSZ8KC,,,1777968885,59.612333,16.708805,8812.3,130.4,False,266.59,-29.673,188.1,0.7999,0.10175,4.521,6.614
4ab824,NSZ8KC,,,1777968886,59.610779,16.712409,8782.5,130.4,False,266.59,-29.798,188.49,0.7999,0.10194,4.623,6.758
4ab824,NSZ8KC,,,1777968887,59.609225,16.716014,8752.6,130.4,False,266.59,-29.923,188.87,0.7999,0.10214,4.725,6.902
4ab824,NSZ8KC,,,1777968888,59.607671,16.719618,8722.6,130.4,False,266.59,-30.05,189.26,0.7999,0.10234,4.827,7.046
4ab824,NSZ8KC,,,1777968889,59.606117,16.723222,8692.4,130.4,False,266.59,-30.177,189.66,0.7999,0.10254,4.93,7.19
4ab824,NSZ8KC,,,1777968890,59.604563,16.726826,8662.1,130.4,False,266.59,-30.306,190.05,0.7999,0.10274,5.032,7.334
4ab824,NSZ8KC,,,1777968891,59.603009,16.73043,8631.7,130.4,False,266.59,-30.436,190.45,0.7999,0.10295,5.135,7.478
4ab824,NSZ8KC,,,1777968892,59.601435,16.73408,8601.8,130.4,False,270.0,-29.847,189.04,0.7999,0.10163,5.237,7.623
4ab824,NSZ8KC,,,1777968893,59.599862,16.73773,8571.8,130.4,False,270.0,-29.972,189.43,0.7999,0.10182,5.339,7.769
4ab824,NSZ8KC,,,1777968894,59.598288,16.74138,8541.7,130.4,False,270.0,-30.098,189.82,0.7999,0.10202,5.441,7.915
4ab824,NSZ8KC,,,1777968895,59.596714,16.74503,8511.5,130.4,False,270.0,-30.225,190.21,0.7999,0.10221,5.543,8.061
4ab824,NSZ8KC,,,1777968896,59.59514,16.74868,8481.2,130.4,False,270.0,-30.353,190.6,0.7999,0.10241,5.645,8.207
4ab824,NSZ8KC,,,1777968897,59.593566,16.752331,8450.7,130.4,False,270.0,-30.483,191.0,0.7999,0.10262,5.748,8.352
4ab824,NSZ8KC,,,1777968898,59.591993,16.755981,8420.1,130.4,False,270.0,-30.614,191.39,0.7999,0.10282,5.851,8.498
4ab824,NSZ8KC,,,1777968899,59.590419,16.759631,8389.3,130.4,False,270.0,-30.745,191.79,0.7999,0.10303,5.954,8.644
4ab824,NSZ8KC,,,1777968900,59.588845,16.763281,8358.4,130.4,False,270.0,-30.878,192.2,0.7999,0.10323,6.057,8.79
4ab824,NSZ8KC,,,1777968901,59.587271,16.766931,8327.4,130.4,False,270.0,-31.013,192.6,0.7999,0.10345,6.161,8.936
4ab824,NSZ8KC,,,1777968902,59.585697,16.770581,8296.3,130.4,False,270.0,-31.148,193.01,0.7999,0.10366,6.264,9.081
4ab824,NSZ8KC,,,1777968903,59.584123,16.774232,8265.0,130.4,False,270.0,-31.285,193.41,0.7999,0.10388,6.368,9.227
4ab824,NSZ8KC,,,1777968904,59.58255,16.777882,8233.6,130.4,False,270.0,-31.422,193.82,0.7999,0.1041,6.472,9.373
4ab824,NSZ8KC,,,1777968905,59.580976,16.781532,8202.0,130.4,False,270.0,-31.561,194.24,0.7999,0.10432,6.577,9.519
4ab824,NSZ8KC,,,1777968906,59.579402,16.785182,8170.3,130.4,False,270.0,-31.702,194.65,0.7999,0.10454,6.681,9.664
4ab824,NSZ8KC,,,1777968907,59.577828,16.788832,8138.5,130.4,False,270.0,-31.843,195.07,0.7999,0.10477,6.786,9.81
4ab824,NSZ8KC,,,1777968908,59.576254,16.792482,8106.5,130.4,False,270.0,-31.986,195.49,0.7999,0.105,6.891,9.956
4ab824,NSZ8KC,,,1777968909,59.574681,16.796132,8074.3,130.4,False,270.0,-32.131,195.91,0.7999,0.10523,6.996,10.102
4ab824,NSZ8KC,,,1777968910,59.573107,16.799783,8042.1,130.4,False,270.0,-32.276,196.33,0.7999,0.10547,7.102,10.248
4ab824,NSZ8KC,,,1777968911,59.571533,16.803433,8009.6,130.4,False,270.0,-32.423,196.76,0.7999,0.10571,7.207,10.393
4ab824,NSZ8KC,,,1777968912,59.569959,16.807083,7977.1,130.4,False,270.0,-32.572,197.19,0.7999,0.10595,7.313,10.539
4ab824,NSZ8KC,,,1777968913,59.568385,16.810733,7944.4,130.4,False,270.0,-32.721,197.62,0.7999,0.1062,7.419,10.685
4ab824,NSZ8KC,,,1777968914,59.566812,16.814383,7911.5,130.4,False,270.0,-32.872,198.05,0.7999,0.10645,7.526,10.831
4ab824,NSZ8KC,,,1777968915,59.565238,16.818033,7878.5,130.4,False,270.0,-33.025,198.49,0.7999,0.1067,7.633,10.977
4ab824,NSZ8KC,,,1777968916,59.563664,16.821684,7845.3,130.4,False,270.0,-33.179,198.93,0.7999,0.10695,7.74,11.122
4ab824,NSZ8KC,,,1777968917,59.56209,16.825334,7811.9,130.4,False,270.0,-33.334,199.37,0.7999,0.10721,7.847,11.268
4ab824,NSZ8KC,,,1777968918,59.560516,16.828984,7778.5,130.4,False,270.0,-33.491,199.81,0.7999,0.10747,7.954,11.414
4ab824,NSZ8KC,,,1777968919,59.558943,16.832634,7744.8,130.4,False,270.0,-33.65,200.26,0.7999,0.10774,8.062,11.56
4ab824,NSZ8KC,,,1777968920,59.557369,16.836284,7711.0,130.4,False,270.0,-33.809,200.71,0.7999,0.10801,8.17,11.705
4ab824,NSZ8KC,,,1777968921,59.555795,16.839934,7677.0,130.4,False,270.0,-33.971,201.16,0.7999,0.10828,8.278,11.851
4ab824,NSZ8KC,,,1777968922,59.554221,16.843585,7642.9,130.4,False,270.0,-34.134,201.61,0.7999,0.10855,8.387,11.997
4ab824,NSZ8KC,,,1777968923,59.552631,16.847273,7609.3,130.4,False,272.85,-33.565,200.41,0.7999,0.10718,8.494,12.144
4ab824,NSZ8KC,,,1777968924,59.55104,16.850962,7575.6,130.4,False,272.85,-33.723,200.86,0.7999,0.10744,8.601,12.292
4ab824,NSZ8KC,,,1777968925,59.54945,16.854651,7541.7,130.4,False,272.85,-33.883,201.31,0.7999,0.10771,8.709,12.439
4ab824,NSZ8KC,,,1777968926,59.547859,16.858339,7507.7,130.4,False,272.85,-34.044,201.76,0.7999,0.10798,8.817,12.586
4ab824,NSZ8KC,,,1777968927,59.546269,16.862028,7473.5,130.4,False,272.85,-34.207,202.21,0.7999,0.10825,8.925,12.734
4ab824,NSZ8KC,,,1777968928,59.544679,16.865717,7439.1,130.4,False,272.85,-34.371,202.67,0.7999,0.10853,9.034,12.881
4ab824,NSZ8KC,,,1777968929,59.543088,16.869405,7404.6,130.4,False,272.85,-34.537,203.13,0.7999,0.10881,9.143,13.028
4ab824,NSZ8KC,,,1777968930,59.541498,16.873094,7369.9,130.4,False,272.85,-34.705,203.59,0.7999,0.10909,9.252,13.176
4ab824,NSZ8KC,,,1777968931,59.539908,16.876781,7335.0,130.4,False,272.75,-34.874,204.05,0.7999,0.10938,9.361,13.323
4ab824,NSZ8KC,,,1777968932,59.538318,16.880468,7299.9,130.4,False,272.75,-35.045,204.52,0.7999,0.10967,9.471,13.47
4ab824,NSZ8KC,,,1777968933,59.536728,16.884156,7264.7,130.4,False,272.75,-35.218,204.99,0.7999,0.10996,9.581,13.617
4ab824,NSZ8KC,,,1777968934,59.535138,16.887843,7229.3,130.4,False,272.75,-35.392,205.46,0.7999,0.11026,9.691,13.765
4ab824,NSZ8KC,,,1777968935,59.533549,16.89153,7193.8,130.4,False,272.75,-35.568,205.94,0.7999,0.11056,9.802,13.912
4ab824,NSZ8KC,,,1777968936,59.531959,16.895218,7158.0,130.4,False,272.75,-35.746,206.42,0.7999,0.11087,9.912,14.059
4ab824,NSZ8KC,,,1777968937,59.530369,16.898905,7122.1,130.4,False,272.75,-35.926,206.9,0.7999,0.11118,10.024,14.207
4ab824,NSZ8KC,,,1777968938,59.528779,16.902592,7086.0,130.4,False,272.75,-36.107,207.38,0.7999,0.1115,10.135,14.354
4ab824,NSZ8KC,,,1777968939,59.527189,16.906279,7049.7,130.4,False,272.75,-36.291,207.87,0.7999,0.11182,10.247,14.501
4ab824,NSZ8KC,,,1777968940,59.5256,16.909967,7013.2,130.4,False,272.75,-36.476,208.36,0.7999,0.11214,10.359,14.648
4ab824,NSZ8KC,,,1777968941,59.52401,16.913654,6976.5,130.4,False,272.75,-36.663,208.85,0.7999,0.11247,10.472,14.796
4ab824,NSZ8KC,,,1777968942,59.52242,16.917341,6939.7,130.4,False,272.75,-36.852,209.35,0.7999,0.1128,10.584,14.943
4ab824,NSZ8KC,,,1777968943,59.52083,16.921028,6902.7,130.4,False,272.75,-37.043,209.85,0.7999,0.11314,10.697,15.09
4ab824,NSZ8KC,,,1777968944,59.51924,16.924716,6865.4,130.4,False,272.75,-37.236,210.35,0.7999,0.11348,10.811,15.237
4ab824,NSZ8KC,,,1777968945,59.517651,16.928403,6828.0,130.4,False,272.75,-37.431,210.85,0.7999,0.11383,10.925,15.385
4ab824,NSZ8KC,,,1777968946,59.516061,16.93209,6790.4,130.4,False,272.75,-37.628,211.36,0.7999,0.11418,11.039,15.532
4ab824,NSZ8KC,,,1777968947,59.514457,16.935809,6753.3,130.4,False,275.1,-37.106,210.38,0.7999,0.11283,11.152,15.681
4ab824,NSZ8KC,,,1777968948,59.512854,16.939528,6716.0,130.4,False,275.1,-37.298,210.88,0.7999,0.11317,11.265,15.829
4ab824,NSZ8KC,,,1777968949,59.511251,16.943247,6678.5,130.4,False,275.1,-37.493,211.39,0.7999,0.11351,11.379,15.978
4ab824,NSZ8KC,,,1777968950,59.509651,16.946961,6640.8,130.3,False,275.1,-37.69,211.89,0.7999,0.11386,11.492,16.126
4ab824,NSZ8KC,,,1777968951,59.508051,16.950675,6602.9,130.3,False,275.1,-37.889,212.41,0.7999,0.11422,11.607,16.275
4ab824,NSZ8KC,,,1777968952,59.506451,16.954389,6564.8,130.3,False,275.1,-38.09,212.92,0.7999,0.11458,11.721,16.423
4ab824,NSZ8KC,,,1777968953,59.504852,16.958102,6526.5,130.3,False,275.1,-38.293,213.44,0.7999,0.11494,11.836,16.572
4ab824,NSZ8KC,,,1777968954,59.503252,16.961816,6488.0,130.3,False,275.1,-38.498,213.96,0.7999,0.11531,11.951,16.72
4ab824,NSZ8KC,,,1777968955,59.501652,16.96553,6449.3,130.3,False,275.1,-38.705,214.48,0.7999,0.11568,12.067,16.869
4ab824,NSZ8KC,,,1777968956,59.500052,16.969244,6410.4,130.3,False,275.1,-38.915,215.01,0.7999,0.11607,12.183,17.017
4ab824,NSZ8KC,,,1777968957,59.498451,16.972962,6371.0,130.3,False,275.44,-39.336,215.83,0.8009,0.11638,12.3,17.166
4ab824,NSZ8KC,,,1777968958,59.496853,16.976672,6331.9,130.3,False,274.8,-39.162,215.83,0.7991,0.1169,12.416,17.315
4ab824,NSZ8KC,,,1777968959,59.495258,16.980374,6292.9,130.3,False,274.16,-38.992,215.83,0.7973,0.11742,12.534,17.463
4ab824,NSZ8KC,,,1777968960,59.493668,16.984066,6254.1,130.3,False,273.52,-38.827,215.83,0.7955,0.11794,12.652,17.61
4ab824,NSZ8KC,,,1777968961,59.492079,16.987754,6215.2,130.3,False,273.17,-38.83,216.07,0.7945,0.1184,12.77,17.758
4ab824,NSZ8KC,,,1777968962,59.490498,16.991425,6176.9,130.3,False,271.93,-38.317,215.55,0.791,0.11903,12.889,17.905
4ab824,NSZ8KC,,,1777968963,59.488924,16.99508,6139.1,130.3,False,270.7,-37.821,215.04,0.7876,0.11965,13.009,18.051
4ab824,NSZ8KC,,,1777968964,59.487357,16.998718,6101.8,130.3,False,269.48,-37.34,214.52,0.7841,0.12026,13.129,18.196
4ab824,NSZ8KC,,,1777968965,59.485796,17.002339,6064.9,130.3,False,268.27,-36.873,214.01,0.7807,0.12086,13.25,18.341
4ab824,NSZ8KC,,,1777968966,59.484243,17.005945,6028.5,130.3,False,267.08,-36.42,213.49,0.7773,0.12145,13.371,18.485
4ab824,NSZ8KC,,,1777968967,59.482697,17.009535,5992.5,130.3,False,265.89,-35.979,212.98,0.774,0.12203,13.494,18.629
4ab824,NSZ8KC,,,1777968968,59.481158,17.013108,5956.9,130.3,False,264.71,-35.55,212.47,0.7707,0.12261,13.616,18.772
4ab824,NSZ8KC,,,1777968969,59.479604,17.016716,5921.6,130.3,False,267.27,-35.305,211.95,0.7713,0.12137,13.737,18.916
4ab824,NSZ8KC,,,1777968970,59.478056,17.020309,5886.7,130.3,False,266.09,-34.889,211.44,0.768,0.12193,13.859,19.06
4ab824,NSZ8KC,,,1777968971,59.476516,17.023885,5852.3,130.3,False,264.93,-34.484,210.92,0.7648,0.12247,13.982,19.203
4ab824,NSZ8KC,,,1777968972,59.474982,17.027446,5818.2,130.3,False,263.77,-34.088,210.41,0.7615,0.12302,14.105,19.345
4ab824,NSZ8KC,,,1777968973,59.473455,17.030992,5784.5,130.3,False,262.62,-33.702,209.89,0.7583,0.12355,14.228,19.487
4ab824,NSZ8KC,,,1777968974,59.471934,17.034522,5751.1,130.3,False,261.48,-33.325,209.38,0.7551,0.12407,14.353,19.628
4ab824,NSZ8KC,,,1777968975,59.47042,17.038036,5718.2,130.3,False,260.35,-32.956,208.86,0.752,0.12459,14.477,19.769
4ab824,NSZ8KC,,,1777968976,59.468912,17.041536,5685.6,130.3,False,259.23,-32.595,208.35,0.7488,0.1251,14.602,19.909
4ab824,NSZ8KC,,,1777968977,59.467411,17.045021,5653.4,130.3,False,258.12,-32.242,207.84,0.7457,0.12561,14.728,20.048
4ab824,NSZ8KC,,,1777968978,59.465917,17.04849,5621.5,130.3,False,257.01,-31.896,207.32,0.7426,0.1261,14.854,20.187
4ab824,NSZ8KC,,,1777968979,59.464429,17.051945,5589.9,130.3,False,255.91,-31.557,206.81,0.7395,0.12659,14.981,20.325
4ab824,NSZ8KC,,,1777968980,59.462947,17.055385,5558.7,130.3,False,254.82,-31.225,206.29,0.7365,0.12708,15.108,20.463
4ab824,NSZ8KC,,,1777968981,59.461471,17.058811,5527.8,130.3,False,253.73,-30.899,205.78,0.7334,0.12755,15.235,20.6
4ab824,NSZ8KC,,,1777968982,59.460002,17.062222,5497.2,130.3,False,252.66,-30.58,205.26,0.7304,0.12802,15.363,20.736
4ab824,NSZ8KC,,,1777968983,59.458539,17.065618,5466.9,130.3,False,251.59,-30.266,204.75,0.7274,0.12849,15.492,20.872
4ab824,NSZ8KC,,,1777968984,59.457082,17.069,5437.0,130.3,False,250.52,-29.958,204.23,0.7244,0.12895,15.621,21.007
4ab824,NSZ8KC,,,1777968985,59.455632,17.072368,5407.3,130.3,False,249.47,-29.655,203.72,0.7215,0.1294,15.75,21.142
4ab824,NSZ8KC,,,1777968986,59.454187,17.075722,5378.0,130.3,False,248.42,-29.358,203.21,0.7185,0.12984,15.88,21.276
4ab824,NSZ8KC,,,1777968987,59.452748,17.079062,5348.9,130.3,False,247.38,-29.066,202.69,0.7156,0.13029,16.01,21.41
4ab824,NSZ8KC,,,1777968988,59.451316,17.082387,5320.1,130.3,False,246.34,-28.778,202.18,0.7127,0.13072,16.141,21.543
4ab824,NSZ8KC,,,1777968989,59.449889,17.085699,5291.6,130.3,False,245.31,-28.495,201.66,0.7098,0.13115,16.272,21.675
4ab824,NSZ8KC,,,1777968990,59.448469,17.088997,5263.4,130.3,False,244.29,-28.216,201.15,0.707,0.13157,16.404,21.807
4ab824,NSZ8KC,,,1777968991,59.447054,17.092281,5235.5,130.3,False,243.27,-27.942,200.63,0.7041,0.13199,16.536,21.938
4ab824,NSZ8KC,,,1777968992,59.445619,17.095613,5207.7,130.3,False,246.84,-27.724,200.12,0.7037,0.13119,16.667,22.072
4ab824,NSZ8KC,,,1777968993,59.444189,17.098932,5180.3,130.3,False,245.82,-27.456,199.6,0.7008,0.1316,16.798,22.204
4ab824,NSZ8KC,,,1777968994,59.442766,17.102237,5153.1,130.3,False,244.81,-27.192,199.09,0.698,0.132,16.93,22.337
4ab824,NSZ8KC,,,1777968995,59.441348,17.105528,5126.2,130.3,False,243.81,-26.931,198.58,0.6952,0.1324,17.063,22.468
4ab824,NSZ8KC,,,1777968996,59.439936,17.108806,5099.5,130.3,False,242.82,-26.674,198.06,0.6925,0.13279,17.196,22.599
4ab824,NSZ8KC,,,1777968997,59.43853,17.112071,5073.1,130.3,False,241.82,-26.421,197.55,0.6897,0.13317,17.329,22.73
4ab824,NSZ8KC,,,1777968998,59.437129,17.115322,5046.9,130.3,False,240.84,-26.171,197.03,0.6869,0.13356,17.462,22.86
4ab824,NSZ8KC,,,1777968999,59.435734,17.118561,5021.0,130.3,False,239.86,-25.924,196.52,0.6842,0.13393,17.596,22.99
4ab824,NSZ8KC,,,1777969000,59.434345,17.121786,4995.3,130.3,False,238.88,-25.68,196.0,0.6815,0.13431,17.731,23.119
4ab824,NSZ8KC,,,1777969001,59.432961,17.124997,4969.8,130.3,False,237.92,-25.439,195.49,0.6788,0.13467,17.865,23.247
4ab824,NSZ8KC,,,1777969002,59.431585,17.128192,4944.6,130.3,False,236.63,-25.202,194.97,0.6761,0.13501,18.0,23.375
4ab824,NSZ8KC,,,1777969003,59.430215,17.131374,4919.7,130.3,False,235.67,-24.967,194.46,0.6734,0.13537,18.136,23.502
4ab824,NSZ8KC,,,1777969004,59.42885,17.134542,4894.9,130.3,False,234.72,-24.734,193.95,0.6708,0.13573,18.271,23.629
4ab824,NSZ8KC,,,1777969005,59.427491,17.137698,4870.4,130.3,False,233.77,-24.505,193.43,0.6681,0.13607,18.407,23.755
4ab824,NSZ8KC,,,1777969006,59.426137,17.140841,4846.2,130.3,False,232.82,-24.277,192.92,0.6655,0.13642,18.544,23.881
4ab824,NSZ8KC,,,1777969007,59.424788,17.143972,4822.1,130.3,False,231.89,-24.053,192.4,0.6629,0.13676,18.681,24.006
4ab824,NSZ8KC,,,1777969008,59.423445,17.14709,4798.3,130.3,False,230.95,-23.83,191.89,0.6603,0.1371,18.818,24.131
4ab824,NSZ8KC,,,1777969009,59.422108,17.150195,4774.7,130.3,False,230.02,-23.61,191.37,0.6577,0.13743,18.955,24.255
4ab824,NSZ8KC,,,1777969010,59.420775,17.153288,4751.3,130.3,False,229.1,-23.393,190.86,0.6551,0.13776,19.093,24.379
4ab824,NSZ8KC,,,1777969011,59.419448,17.156368,4728.1,130.3,False,228.17,-23.177,190.34,0.6525,0.13808,19.231,24.502
4ab824,NSZ8KC,,,1777969012,59.418127,17.159436,4705.1,130.3,False,227.26,-22.964,189.83,0.65,0.13841,19.369,24.624
4ab824,NSZ8KC,,,1777969013,59.416811,17.162492,4682.4,130.3,False,226.35,-22.753,189.32,0.6474,0.13872,19.508,24.747
4ab824,NSZ8KC,,,1777969014,59.4155,17.165536,4659.8,130.3,False,225.44,-22.544,188.8,0.6449,0.13903,19.647,24.868
4ab824,NSZ8KC,,,1777969015,59.414194,17.168567,4637.5,130.2,False,224.54,-22.337,188.29,0.6424,0.13934,19.786,24.99
4ab824,NSZ8KC,,,1777969016,59.412893,17.171586,4615.4,130.2,False,223.64,-22.132,187.77,0.6399,0.13965,19.926,25.11
4ab824,NSZ8KC,,,1777969017,59.411598,17.174593,4593.4,130.2,False,222.74,-21.929,187.26,0.6374,0.13995,20.066,25.231
4ab824,NSZ8KC,,,1777969018,59.410308,17.177588,4571.7,130.2,False,221.85,-21.728,186.74,0.6349,0.14025,20.206,25.35
4ab824,NSZ8KC,,,1777969019,59.409023,17.180571,4550.2,130.2,False,220.97,-21.529,186.23,0.6324,0.14054,20.347,25.47
4ab824,NSZ8KC,,,1777969020,59.407725,17.183585,4528.8,130.2,False,223.25,-21.357,185.71,0.6315,0.13995,20.487,25.59
4ab824,NSZ8KC,,,1777969021,59.406433,17.186585,4507.7,130.2,False,222.37,-21.162,185.2,0.629,0.14024,20.627,25.71
4ab824,NSZ8KC,,,1777969022,59.405147,17.189569,4486.7,130.3,False,221.49,-20.968,184.69,0.6266,0.14052,20.768,25.83
4ab824,NSZ8KC,,,1777969023,59.403866,17.192542,4465.9,130.3,False,220.61,-20.776,184.17,0.6241,0.1408,20.908,25.949
4ab824,NSZ8KC,,,1777969024,59.40259,17.195502,4445.3,130.3,False,219.74,-20.586,183.66,0.6217,0.14107,21.049,26.068
4ab824,NSZ8KC,,,1777969025,59.401319,17.198451,4424.9,130.2,False,218.87,-20.398,183.14,0.6193,0.14134,21.191,26.186
4ab824,NSZ8KC,,,1777969026,59.400053,17.201389,4404.7,130.2,False,218.01,-20.211,182.63,0.6169,0.14161,21.332,26.304
4ab824,NSZ8KC,,,1777969027,59.398792,17.204314,4384.7,130.2,False,217.15,-20.026,182.11,0.6145,0.14188,21.474,26.421
4ab824,NSZ8KC,,,1777969028,59.397537,17.207229,4364.9,130.2,False,216.29,-19.843,181.6,0.6121,0.14214,21.616,26.538
4ab824,NSZ8KC,,,1777969029,59.396286,17.210131,4345.2,130.2,False,215.44,-19.661,181.08,0.6097,0.1424,21.759,26.654
4ab824,NSZ8KC,,,1777969030,59.39504,17.213023,4325.7,130.2,False,214.59,-19.481,180.57,0.6074,0.14265,21.901,26.77
4ab824,NSZ8KC,,,1777969031,59.393799,17.215903,4306.4,130.2,False,213.75,-19.303,180.06,0.605,0.14291,22.044,26.885
4ab824,NSZ8KC,,,1777969032,59.392562,17.218771,4287.3,130.2,False,212.91,-19.126,179.54,0.6027,0.14316,22.187,27.0
